employeenumber,age,attrition,businesstravel,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numero_empresas_anteriores,horas_extra,incremento_salario,nivel_trabajo,satisfaccion_relaciones_interpersonales,clasificacion_jornada,años_experiencia,cursos,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary,remotework,salary_month
14,43,Yes,travel_rarely,12,3,Life Sciences,2,F,3,5, Research Director ,3,Married,1,No,12,3,4,Full Time,11.32,0,Alto,22,15,8,195450.0,No,16287.5
15,57,No,Unknown,14,4,Medical,3,M,4,5, Research Director ,2,Single,8,No,11,3,4,Unknown,11.32,3,Alto,24,2,15,65245.88,Yes,5437.16
16,42,No,travel_rarely,2,4,Life Sciences,3,F,3,5, Manager ,3,Unknown,0,No,14,3,4,Full Time,11.32,2,Alto,20,1,12,180410.0,No,15034.17
17,60,Yes,travel_rarely,2,4,Life Sciences,4,M,3,5, Research Director ,2,Single,7,Yes,12,3,4,Full Time,40.0,2,Alto,31,13,8,192460.0,No,16038.33
18,48,No,travel_rarely,2,3,Life Sciences,3,F,3,4, Manager ,1,Unknown,8,Unknown,23,4,1,Unknown,28.0,2,Alto,26,15,9,65245.88,No,5437.16
19,37,No,Unknown,7,5,Life Sciences,2,M,4,2, Research Scientist ,1,Married,1,Unknown,11,3,4,Unknown,11.32,2,Alto,16,1,10,65245.88,No,5437.16
20,42,No,travel_rarely,15,3,Life Sciences,1,F,2,3, Manufacturing Director ,3,Unknown,1,Unknown,13,3,4,Unknown,18.0,2,Unknown,18,14,12,65245.88,Yes,5437.16
21,47,No,non-travel,1,1,Life Sciences,3,M,2,3, Healthcare Representative ,3,Unknown,3,Unknown,23,4,4,Full Time,25.0,3,Medio,23,14,4,107480.0,No,8956.67
22,35,No,Unknown,1,2,Life Sciences,1,F,3,3, Research Director ,4,Single,1,Yes,12,3,3,Part Time,15.0,1,Alto,15,8,12,100071.84,Yes,8339.32
23,38,No,Unknown,8,3,Life Sciences,3,F,3,3, Healthcare Representative ,3,Divorced,1,Unknown,13,3,2,Unknown,17.0,2,Alto,17,12,8,100071.84,Yes,8339.32
24,49,No,Unknown,2,2,Other,3,F,3,4, Manager ,4,Married,1,Unknown,11,3,3,Full Time,11.32,3,Medio,26,3,0,167520.0,No,13960.0
25,38,No,travel_rarely,7,2,Life Sciences,4,M,3,2, Sales Executive ,4,Unknown,1,Unknown,14,3,4,Full Time,18.0,1,Unknown,18,4,11,62010.0,Yes,5167.5
26,37,No,Unknown,9,3,Life Sciences,4,F,2,3, Manufacturing Director ,3,Married,1,Yes,20,4,2,Part Time,17.0,2,Alto,17,5,15,100071.84,No,8339.32
27,54,Yes,Unknown,2,1,Life Sciences,1,F,1,5, Manager ,4,Married,1,No,15,3,4,Full Time,33.0,3,Alto,32,6,9,198450.0,Yes,16537.5
28,38,No,Unknown,2,4,Life Sciences,3,F,3,2, Manufacturing Director ,2,Single,9,Yes,11,3,4,Unknown,18.0,2,Alto,16,5,12,53914.11,No,4492.84
29,35,No,travel_rarely,28,4,Life Sciences,2,M,3,2, Laboratory Technician ,3,Married,1,Unknown,12,3,2,Part Time,15.0,3,Alto,15,5,7,53914.11,Yes,4492.84
30,36,No,non-travel,10,3,Life Sciences,4,M,3,2, Sales Executive ,3,Unknown,1,Yes,14,3,3,Part Time,15.0,3,Alto,15,0,7,40010.0,Yes,3334.17
31,43,No,Unknown,7,1,Life Sciences,3,F,3,3, Sales Executive ,3,Divorced,0,Unknown,13,3,4,Full Time,11.32,3,Muy alto,22,13,5,104470.0,Yes,8705.83
32,49,No,Unknown,25,3,Medical,1,M,3,3, Healthcare Representative ,3,Unknown,2,Unknown,23,4,2,Unknown,25.0,3,Alto,17,12,11,65245.88,Yes,5437.16
33,55,No,travel_rarely,5,3,Life Sciences,3,F,3,5, Manager ,3,Unknown,4,Unknown,11,3,4,Full Time,26.0,3,Medio,14,4,8,191324.62,Yes,15943.72
34,37,No,Unknown,1,4,Marketing,3,M,2,2, Sales Executive ,1,Single,0,No,14,3,2,Part Time,16.0,2,Alto,15,2,8,53914.11,No,4492.84
35,36,No,travel_rarely,6,4,Other,1,F,3,2, Research Scientist ,3,Single,1,Unknown,14,3,3,Unknown,16.0,3,Alto,16,2,10,65245.88,Yes,5437.16
36,48,No,travel_rarely,1,2,Life Sciences,2,F,3,3, Sales Executive ,1,Divorced,1,No,25,4,3,Part Time,24.0,2,Alto,24,15,7,100071.84,Yes,8339.32
37,45,No,Unknown,16,3,Life Sciences,4,F,3,4, Manager ,4,Married,5,Unknown,22,4,3,Full Time,22.0,3,Alto,17,1,9,160640.0,Yes,13386.67
38,38,No,Unknown,6,3,Life Sciences,4,M,3,1, Laboratory Technician ,4,Married,0,Unknown,11,3,3,Full Time,16.0,4,Alto,15,10,11,32100.0,Yes,2675.0
39,62,No,travel_frequently,28,3,Life Sciences,3,F,2,3, Sales Executive ,1,Married,4,No,19,3,4,Full Time,22.0,5,Muy alto,18,13,11,102660.0,Yes,8555.0
40,42,No,travel_frequently,5,4,Life Sciences,4,M,2,3, Sales Executive ,1,Married,5,Yes,21,4,3,Full Time,20.0,2,Alto,18,1,12,104750.0,No,8729.17
41,34,No,travel_rarely,4,3,Life Sciences,3,F,2,2, Manufacturing Director ,3,Married,1,No,12,3,3,Full Time,14.0,3,Alto,14,6,8,61620.0,No,5135.0
42,43,No,travel_rarely,7,3,Life Sciences,3,M,3,1, Laboratory Technician ,1,Single,2,Yes,13,3,3,Full Time,20.0,3,Alto,18,2,17,47210.0,Yes,3934.17
43,55,No,Unknown,2,2,Medical,3,M,3,4, Manager ,3,Divorced,6,No,13,3,3,Full Time,22.0,3,Muy alto,17,15,2,153407.07,No,12783.92
44,38,Yes,travel_rarely,16,4,Life Sciences,3,F,4,1, Laboratory Technician ,1,Single,1,Unknown,16,3,3,Part Time,18.0,1,Alto,17,15,14,28111.13,Yes,2342.59
45,48,No,Unknown,8,4,Life Sciences,4,F,2,2, Research Scientist ,1,Divorced,8,Yes,23,4,1,Part Time,11.32,2,Alto,16,1,7,46150.0,No,3845.83
46,40,No,travel_rarely,1,4,Life Sciences,4,M,3,2, Sales Executive ,2,Married,0,No,15,3,1,Unknown,16.0,3,Unknown,15,5,8,53914.11,Yes,4492.84
47,53,No,Unknown,1,4,Life Sciences,1,F,2,3, Healthcare Representative ,1,Single,3,Unknown,20,4,3,Part Time,23.0,1,Medio,13,12,8,100071.84,Yes,8339.32
48,45,No,Unknown,26,2,Life Sciences,3,M,3,4, Manager ,4,Married,1,Yes,12,3,4,Full Time,25.0,3,Muy alto,25,4,12,169590.0,Yes,14132.5
49,39,No,Unknown,1,3,Life Sciences,4,F,3,1, Research Scientist ,4,Single,1,No,12,3,2,Part Time,11.32,3,Alto,17,5,7,28111.13,Yes,2342.59
50,34,No,travel_rarely,8,2,Technical Degree,3,F,2,2, Sales Executive ,2,Married,1,Yes,11,3,4,Part Time,11.32,2,Alto,13,11,9,53914.11,Yes,4492.84
51,40,No,Unknown,1,3,Life Sciences,4,F,3,3, Research Director ,1,Married,1,Unknown,13,3,2,Part Time,15.0,3,Alto,15,5,11,100071.84,No,8339.32
52,48,No,Unknown,3,3,Life Sciences,3,F,3,4, Manager ,2,Unknown,8,No,12,3,4,Full Time,23.0,2,Muy alto,13,5,1,153407.07,Yes,12783.92
53,37,Yes,travel_rarely,10,3,Medical,4,M,2,3, Sales Executive ,1,Married,9,Unknown,17,3,3,Unknown,15.0,3,Unknown,13,6,0,65245.88,No,5437.16
54,45,No,Unknown,6,3,Medical,1,F,2,5, Manager ,3,Married,7,No,13,3,4,Unknown,21.0,2,Alto,16,6,14,65245.88,Yes,5437.16
55,58,No,non-travel,1,4,Life Sciences,3,M,3,2, Healthcare Representative ,3,Divorced,1,No,21,3,1,Unknown,11.32,2,Medio,13,1,9,65245.88,Yes,5437.16
56,38,No,non-travel,15,4,Marketing,4,M,1,2, Sales Executive ,4,Divorced,1,No,24,4,1,Full Time,11.32,4,Medio,15,11,11,54060.0,Yes,4505.0
57,40,No,Unknown,6,3,Medical,2,F,1,2, Research Scientist ,4,Unknown,7,Unknown,12,3,4,Part Time,17.0,3,Alto,13,1,9,53914.11,Yes,4492.84
58,51,No,Unknown,7,4,Medical,3,F,3,2, Manufacturing Director ,1,Unknown,1,No,14,3,3,Part Time,16.0,2,Medio,15,5,11,53914.11,No,4492.84
59,41,No,travel_rarely,4,4,Life Sciences,4,F,2,2, Sales Executive ,3,Married,4,Unknown,14,3,3,Full Time,17.0,1,Muy alto,15,5,9,59020.0,Yes,4918.33
60,42,No,Unknown,4,4,Life Sciences,3,M,2,3, Sales Executive ,4,Married,7,No,11,3,1,Full Time,15.0,2,Medio,12,2,11,108550.0,Yes,9045.83
61,38,No,Unknown,5,2,Life Sciences,4,M,3,2, Laboratory Technician ,2,Single,8,No,16,3,4,Full Time,16.0,3,Muy alto,13,3,7,59140.0,Yes,4928.33
62,39,No,Unknown,25,5,Life Sciences,2,F,3,2, Research Scientist ,3,Married,3,Yes,15,3,1,Unknown,15.0,2,Alto,13,10,7,53914.11,No,4492.84
63,37,No,Unknown,6,4,Life Sciences,2,M,1,2, Research Scientist ,4,Unknown,1,Unknown,13,3,2,Full Time,11.32,3,Alto,17,11,8,66460.0,Yes,5538.33
64,35,No,travel_frequently,6,3,Life Sciences,3,M,3,2, Healthcare Representative ,4,Divorced,3,No,23,4,3,Part Time,15.0,2,Mal,13,4,7,53914.11,No,4492.84
65,52,No,travel_rarely,24,3,Life Sciences,4,M,3,4, Manufacturing Director ,3,Married,3,Yes,18,3,4,Full Time,22.0,2,Alto,12,1,5,139730.0,No,11644.17
66,50,No,travel_rarely,4,4,Life Sciences,3,M,2,3, Healthcare Representative ,3,Single,7,Unknown,14,3,2,Part Time,27.0,3,Alto,15,4,8,100071.84,Yes,8339.32
67,46,No,travel_rarely,28,3,Life Sciences,4,F,4,4, Sales Executive ,4,Married,3,Unknown,18,3,3,Unknown,11.32,2,Alto,12,11,11,65245.88,Yes,5437.16
68,46,No,travel_rarely,29,4,Life Sciences,4,M,3,2, Research Scientist ,4,Single,1,Unknown,25,4,2,Part Time,11.32,3,Alto,20,13,17,53914.11,Yes,4492.84
69,42,No,Unknown,7,1,Life Sciences,2,F,4,2, Healthcare Representative ,3,Unknown,5,No,20,4,2,Part Time,15.0,0,Alto,12,11,8,53914.11,Yes,4492.84
70,36,No,travel_rarely,2,4,Life Sciences,3,F,3,2, Healthcare Representative ,4,Single,1,Unknown,11,3,4,Full Time,14.0,2,Muy alto,14,4,11,66870.0,Yes,5572.5
71,37,No,non-travel,8,4,Life Sciences,3,F,3,2, Healthcare Representative ,3,Unknown,1,Unknown,12,3,4,Part Time,11.32,5,Alto,14,2,9,53914.11,Yes,4492.84
72,52,No,Unknown,17,5,Life Sciences,4,F,2,3, Research Director ,1,Unknown,5,No,15,3,3,Part Time,11.32,3,Alto,14,1,11,100071.84,No,8339.32
73,51,No,Unknown,6,1,Life Sciences,3,F,2,4, Healthcare Representative ,3,Unknown,2,Unknown,19,3,2,Full Time,11.32,3,Alto,15,2,12,153407.07,Yes,12783.92
74,40,No,travel_frequently,1,3,Life Sciences,4,M,3,2, Research Scientist ,4,Unknown,7,No,15,3,4,Part Time,19.0,4,Unknown,13,2,9,47350.0,Yes,3945.83
75,35,No,Unknown,21,3,Life Sciences,2,M,4,1, Laboratory Technician ,2,Unknown,1,No,18,3,4,Part Time,14.0,6,Unknown,14,2,13,28111.13,Yes,2342.59
76,49,No,travel_rarely,4,3,Life Sciences,3,F,2,3, Manufacturing Director ,2,Divorced,8,Yes,12,3,3,Part Time,11.32,4,Alto,22,14,10,100071.84,Yes,8339.32
77,40,No,Unknown,8,3,Life Sciences,4,F,2,2, Research Scientist ,2,Divorced,1,Unknown,16,3,3,Unknown,20.0,3,Alto,20,0,7,65245.88,No,5437.16
78,39,No,travel_rarely,10,3,Life Sciences,3,F,4,3, Research Director ,4,Unknown,1,Yes,25,4,1,Part Time,16.0,2,Alto,16,6,8,100071.84,Yes,8339.32
79,32,No,Unknown,2,3,Life Sciences,3,M,2,2, Healthcare Representative ,4,Married,1,No,19,3,1,Part Time,11.0,3,Alto,11,10,8,53914.11,Yes,4492.84
80,60,No,travel_rarely,7,4,Life Sciences,4,M,3,4, Sales Executive ,3,Single,0,Unknown,13,3,3,Full Time,38.0,1,Medio,37,1,8,138720.0,Yes,11560.0
81,36,No,travel_rarely,5,3,Life Sciences,3,F,2,3, Manager ,1,Single,2,Unknown,12,3,4,Unknown,14.0,6,Alto,11,5,8,65245.88,No,5437.16
82,60,Yes,travel_rarely,23,4,Medical,4,F,3,3, Healthcare Representative ,4,Married,1,Unknown,12,3,4,Part Time,40.0,3,Medio,40,15,6,100071.84,Yes,8339.32
83,40,No,Unknown,3,3,Life Sciences,1,M,3,3, Sales Executive ,3,Divorced,0,Unknown,12,3,3,Unknown,11.32,6,Medio,16,5,13,65245.88,Yes,5437.16
84,31,No,travel_frequently,1,1,Life Sciences,2,F,3,3, Sales Executive ,4,Married,1,Unknown,14,3,4,Part Time,11.0,5,Alto,11,4,1,100071.84,Yes,8339.32
85,57,No,travel_rarely,1,3,Medical,4,M,3,5, Manager ,1,Single,0,Unknown,14,3,3,Full Time,37.0,2,Alto,36,4,13,190450.0,Yes,15870.83
86,43,No,Unknown,7,4,Life Sciences,4,M,3,4, Manager ,2,Unknown,1,Unknown,19,3,2,Unknown,11.32,2,Alto,22,0,4,65245.88,Yes,5437.16
87,41,No,travel_rarely,1,3,Life Sciences,3,M,4,3, Healthcare Representative ,4,Unknown,0,No,17,3,1,Part Time,19.0,5,Medio,18,3,7,96130.0,No,8010.83
88,40,No,Unknown,15,2,Life Sciences,3,M,2,3, Research Director ,4,Unknown,0,Unknown,14,3,2,Full Time,11.32,3,Alto,11,2,9,115100.0,Yes,9591.67
89,45,No,Unknown,12,3,Life Sciences,1,M,2,4, Research Director ,2,Unknown,1,No,11,3,3,Full Time,11.32,3,Unknown,25,3,9,153407.07,Yes,12783.92
90,33,No,Unknown,7,2,Life Sciences,2,F,3,2, Manufacturing Director ,1,Married,1,No,12,3,2,Unknown,13.0,5,Mal,13,3,12,65245.88,Yes,5437.16
91,52,No,travel_rarely,7,4,Life Sciences,2,M,2,4, Manager ,3,Married,0,No,15,3,2,Full Time,28.0,2,Alto,27,15,7,170460.0,Yes,14205.0
92,37,No,Unknown,25,3,Technical Degree,4,M,2,3, Manufacturing Director ,2,Married,3,No,16,3,1,Part Time,11.32,2,Alto,13,4,8,100071.84,No,8339.32
93,49,No,Unknown,16,4,Life Sciences,3,M,4,2, Manufacturing Director ,3,Unknown,1,Yes,19,3,3,Unknown,20.0,3,Unknown,19,2,7,65245.88,Yes,5437.16
94,37,No,Unknown,25,4,Life Sciences,3,F,3,3, Healthcare Representative ,3,Divorced,1,Yes,11,3,3,Part Time,11.32,3,Medio,16,10,1,100071.84,Yes,8339.32
95,42,No,travel_rarely,20,4,Life Sciences,1,M,3,3, Healthcare Representative ,4,Married,4,Unknown,20,4,4,Part Time,14.0,6,Alto,11,11,1,100071.84,Yes,8339.32
96,47,No,Unknown,9,4,Life Sciences,2,F,2,2, Sales Executive ,3,Married,1,Unknown,13,3,4,Part Time,15.0,2,Alto,15,4,12,53914.11,No,4492.84
97,35,No,Unknown,9,3,Medical,1,M,3,1, Research Scientist ,4,Married,0,Unknown,13,3,2,Unknown,15.0,5,Alto,14,4,10,28111.13,No,2342.59
98,38,No,travel_frequently,3,3,Life Sciences,3,M,3,1, Research Scientist ,2,Married,1,No,12,3,3,Full Time,12.0,2,Medio,11,0,7,36920.0,No,3076.67
99,47,Yes,Unknown,7,3,Marketing,1,F,1,5, Manager ,2,Unknown,2,Yes,16,3,1,Full Time,26.0,2,Alto,24,1,11,191324.62,Yes,15943.72
100,53,No,travel_frequently,7,3,Life Sciences,2,M,3,5, Manager ,2,Unknown,4,Yes,24,3,1,Full Time,11.32,5,Medio,29,11,10,198470.0,No,16539.17
101,36,No,travel_rarely,7,2,Technical Degree,2,M,3,1, Sales Representative ,3,Unknown,0,Yes,25,4,2,Part Time,12.0,4,Alto,11,5,7,23080.0,No,1923.33
102,45,No,travel_rarely,15,2,Life Sciences,3,M,2,4, Research Director ,3,Unknown,1,No,24,4,1,Full Time,11.32,3,Alto,14,6,11,153407.07,Yes,12783.92
103,36,No,Unknown,5,2,Medical,2,M,2,2, Laboratory Technician ,4,Unknown,1,No,14,3,3,Part Time,11.32,3,Unknown,15,4,13,53914.11,No,4492.84
104,40,No,Unknown,2,3,Life Sciences,1,M,3,1, Human Resources ,2,Divorced,5,No,13,3,4,Part Time,13.0,3,Alto,11,3,8,28111.13,Yes,2342.59
105,50,No,Unknown,10,3,Life Sciences,4,M,2,5, Research Director ,2,Unknown,4,No,12,3,4,Full Time,29.0,3,Alto,22,12,9,191324.62,No,15943.72
106,36,No,Unknown,22,4,Other,3,M,2,2, Research Scientist ,4,Married,1,Yes,15,3,2,Full Time,16.0,3,Alto,15,6,11,57470.0,No,4789.17
107,34,No,travel_rarely,7,4,Life Sciences,3,F,3,3, Sales Executive ,4,Unknown,1,No,19,3,3,Full Time,14.0,3,Alto,14,5,7,104220.0,Yes,8685.0
108,31,No,travel_rarely,21,4,Life Sciences,2,F,4,3, Manufacturing Director ,1,Divorced,1,No,11,3,3,Unknown,10.0,1,Alto,10,8,8,65245.88,No,5437.16
109,48,No,Unknown,1,3,Medical,3,M,2,3, Healthcare Representative ,1,Married,2,Yes,13,3,3,Unknown,21.0,5,Medio,10,9,5,100071.84,No,8339.32
110,32,No,Unknown,9,3,Life Sciences,3,M,3,2, Human Resources ,4,Married,0,Yes,19,3,4,Full Time,11.32,2,Mal,11,4,7,63470.0,No,5289.17
111,47,No,Unknown,9,3,Life Sciences,2,M,3,2, Laboratory Technician ,2,Unknown,8,No,18,3,3,Part Time,20.0,2,Unknown,17,0,15,23480.0,Yes,1956.67
112,32,No,travel_rarely,5,3,Life Sciences,2,F,3,3, Sales Executive ,4,Unknown,2,No,12,3,3,Part Time,11.32,2,Alto,10,7,4,100071.84,Yes,8339.32
113,32,No,Unknown,9,3,Life Sciences,3,M,3,2, Laboratory Technician ,1,Unknown,1,No,11,3,3,Part Time,12.0,4,Alto,12,6,10,30720.0,Yes,2560.0
114,36,No,travel_frequently,7,1,Life Sciences,4,M,2,2, Manufacturing Director ,3,Married,1,Unknown,17,3,3,Unknown,10.0,2,Medio,10,1,9,65245.88,No,5437.16
115,53,No,travel_rarely,8,4,Life Sciences,2,M,2,3, Research Director ,2,Married,5,No,16,3,4,Full Time,16.0,5,Mal,10,4,7,124900.0,No,10408.33
116,36,No,Unknown,7,4,Life Sciences,3,M,2,2, Manufacturing Director ,1,Unknown,6,Unknown,13,3,2,Part Time,13.0,3,Alto,11,5,9,53914.11,Yes,4492.84
117,37,No,travel_rarely,16,3,Life Sciences,3,M,3,3, Sales Executive ,2,Married,0,Unknown,15,3,3,Part Time,12.0,3,Medio,11,6,9,80200.0,Yes,6683.33
118,47,No,travel_frequently,7,3,Life Sciences,1,M,3,3, Laboratory Technician ,1,Unknown,1,Unknown,18,3,1,Part Time,24.0,2,Alto,24,9,11,100071.84,Yes,8339.32
119,41,No,Unknown,10,1,Life Sciences,3,M,3,4, Manager ,1,Married,1,Unknown,14,3,4,Full Time,21.0,3,Alto,21,11,10,170680.0,Yes,14223.33
120,33,No,Unknown,7,2,Life Sciences,3,F,2,3, Manufacturing Director ,3,Married,1,No,24,4,1,Part Time,10.0,2,Alto,10,8,9,89430.0,No,7452.5
121,41,No,Unknown,7,2,Life Sciences,3,M,2,5, Manager ,4,Married,1,Unknown,15,3,1,Full Time,11.32,2,Alto,21,13,3,192720.0,Yes,16060.0
122,47,No,travel_rarely,8,4,Life Sciences,4,M,3,2, Research Scientist ,4,Unknown,9,No,14,3,1,Part Time,12.0,3,Alto,10,9,8,53914.11,Yes,4492.84
123,32,No,travel_rarely,5,3,Marketing,4,F,2,2, Sales Executive ,3,Unknown,1,Unknown,13,3,3,Unknown,10.0,2,Alto,10,1,2,65245.88,Yes,5437.16
124,33,No,Unknown,7,4,Medical,3,F,3,3, Manufacturing Director ,4,Unknown,1,Unknown,14,3,3,Part Time,11.0,2,Medio,11,4,10,100071.84,No,8339.32
125,38,No,Unknown,3,4,Medical,1,M,2,3, Sales Executive ,4,Married,4,No,11,3,1,Part Time,16.0,2,Alto,13,1,12,100071.84,Yes,8339.32
126,38,No,travel_rarely,2,2,Life Sciences,2,M,2,3, Sales Executive ,3,Married,1,Unknown,13,3,2,Part Time,10.0,2,Alto,10,9,0,100071.84,Yes,8339.32
127,57,No,travel_rarely,18,5,Life Sciences,1,F,3,4, Manager ,2,Single,3,No,23,4,4,Full Time,37.0,2,Alto,10,7,7,153407.07,Yes,12783.92
128,37,No,Unknown,1,3,Life Sciences,2,M,3,2, Sales Executive ,3,Unknown,9,Unknown,11,3,3,Part Time,15.0,2,Alto,11,6,9,53914.11,Yes,4492.84
129,44,No,travel_rarely,24,3,Medical,4,M,3,3, Manufacturing Director ,1,Married,1,Unknown,21,4,4,Part Time,10.0,5,Medio,10,5,8,100071.84,No,8339.32
130,54,No,travel_rarely,6,2,Life Sciences,4,M,3,2, Research Scientist ,1,Divorced,3,Yes,12,3,2,Full Time,18.0,3,Alto,10,6,9,55770.0,Yes,4647.5
131,51,No,Unknown,18,4,Life Sciences,4,M,2,5, Research Director ,3,Unknown,1,Yes,17,3,3,Full Time,11.32,5,Alto,31,0,9,191324.62,Yes,15943.72
132,36,No,travel_rarely,1,5,Life Sciences,2,M,3,1, Research Scientist ,4,Married,1,No,12,3,4,Part Time,11.32,4,Medio,10,8,8,26910.0,Yes,2242.5
133,35,Yes,travel_rarely,1,4,Other,4,M,3,1, Research Scientist ,4,Single,1,Unknown,13,3,3,Part Time,10.0,2,Medio,10,7,8,28111.13,No,2342.59
134,35,No,Unknown,7,3,Medical,3,M,3,3, Research Director ,3,Married,0,No,11,3,4,Unknown,11.32,3,Muy alto,13,3,7,65245.88,Yes,5437.16
135,55,No,travel_rarely,23,4,Life Sciences,4,F,3,4, Research Director ,4,Unknown,6,No,18,3,3,Full Time,33.0,0,Alto,12,3,8,153407.07,Yes,12783.92
136,51,No,travel_rarely,8,2,Other,1,F,3,3, Laboratory Technician ,2,Married,4,Unknown,11,3,3,Part Time,29.0,3,Medio,26,1,7,74030.0,No,6169.17
137,37,No,Unknown,7,4,Life Sciences,2,M,3,3, Sales Executive ,4,Unknown,6,Unknown,13,3,2,Part Time,11.32,2,Alto,10,0,8,100071.84,No,8339.32
138,40,No,travel_rarely,17,1,Life Sciences,3,F,2,3, Healthcare Representative ,3,Married,0,Unknown,18,3,1,Part Time,20.0,4,Medio,19,1,9,88230.0,No,7352.5
139,48,No,Unknown,3,1,Marketing,1,M,3,4, Manager ,3,Married,3,No,12,3,4,Full Time,11.32,3,Alto,12,4,9,153407.07,No,12783.92
140,38,No,non-travel,18,4,Life Sciences,1,M,3,2, Manufacturing Director ,4,Single,2,Unknown,20,4,1,Part Time,18.0,0,Alto,11,0,9,53914.11,No,4492.84
141,44,Yes,travel_frequently,7,3,Life Sciences,1,M,3,4, Sales Executive ,1,Single,0,Unknown,12,3,2,Full Time,11.32,2,Medio,21,13,14,153407.07,Yes,12783.92
142,36,No,travel_frequently,1,3,Life Sciences,4,M,2,2, Healthcare Representative ,1,Single,0,No,20,4,3,Unknown,14.0,3,Alto,13,4,9,65245.88,Yes,5437.16
143,32,No,travel_rarely,1,3,Medical,4,M,3,1, Research Scientist ,2,Unknown,0,Yes,21,4,1,Unknown,12.0,2,Alto,11,5,7,35790.0,Yes,2982.5
144,56,No,travel_rarely,3,3,Life Sciences,4,M,3,4, Research Director ,4,Married,3,No,14,3,1,Full Time,36.0,2,Alto,10,0,9,177790.0,Yes,14815.83
145,33,No,travel_rarely,24,3,Medical,3,F,2,2, Healthcare Representative ,1,Single,1,No,19,3,2,Part Time,10.0,2,Alto,10,1,8,53914.11,No,4492.84
146,46,No,Unknown,5,3,Life Sciences,2,M,3,5, Manager ,2,Married,7,No,11,3,3,Full Time,26.0,5,Alto,22,3,10,182130.0,Yes,15177.5
147,57,No,non-travel,8,1,Life Sciences,4,M,2,4, Healthcare Representative ,2,Divorced,1,Yes,15,3,4,Full Time,11.32,3,Alto,33,15,0,135770.0,No,11314.17
148,46,No,travel_rarely,4,2,Life Sciences,3,M,4,5, Manager ,1,Divorced,1,No,14,3,4,Full Time,11.32,4,Medio,25,14,13,191900.0,No,15991.67
149,36,No,travel_frequently,11,3,Life Sciences,3,M,2,2, Human Resources ,2,Unknown,4,No,11,3,4,Unknown,14.0,5,Muy alto,10,1,8,65245.88,Yes,5437.16
150,41,No,Unknown,13,4,Life Sciences,3,F,2,4, Manager ,2,Divorced,6,Yes,13,3,4,Full Time,11.32,4,Alto,19,15,2,171230.0,No,14269.17
